name,users,statuses,6,12,24,72
mstdn.beer,681.0,5055202.0,0.0,0.0,0.0,4.0
openbiblio.social,681.0,39791.0,1.0,7.0,13.0,38.0
ramen.iu0.win,675.0,95443.0,0.0,0.0,0.0,1.0
mastodon.au,658.0,496.0,73.0,113.0,313.0,600.0
9kb.me,650.0,165902.0,0.0,0.0,2.0,2.0
social.trom.tf,645.0,94500.0,0.0,0.0,0.0,0.0
gruene.social,640.0,49228.0,0.0,0.0,9.0,42.0
kawen.space,639.0,408698.0,0.0,0.0,0.0,0.0
oldbytes.space,630.0,109401.0,0.0,0.0,0.0,0.0
pleroma.pt,609.0,22236.0,1.0,1.0,3.0,8.0
mastodon.cosmicanimal.jp,594.0,15737.0,0.0,0.0,0.0,0.0
mograph.social,587.0,12555.0,4.0,16.0,14.0,33.0
mastodon.cisti.org,578.0,156274.0,0.0,0.0,0.0,1.0
disabled.social,578.0,6623.0,19.0,46.0,52.0,
halifaxsocial.ca,576.0,7215.0,1.0,4.0,8.0,
toot.kif.rocks,570.0,70394.0,0.0,3.0,5.0,19.0
xoxo.zone,565.0,65060.0,0.0,2.0,4.0,10.0
lesbiab.space,560.0,27665.0,0.0,0.0,0.0,0.0
biplus.date,548.0,74454.0,0.0,0.0,1.0,0.0
literatur.social,547.0,90193.0,0.0,1.0,6.0,24.0
m.moe.cat,547.0,28845.0,0.0,0.0,0.0,0.0
moe.cat,547.0,28845.0,0.0,0.0,0.0,0.0
oransns.com,538.0,904866.0,0.0,0.0,0.0,0.0
col.social,536.0,16586.0,1.0,3.0,4.0,10.0
mastodon.triggerphra.se,533.0,11584.0,0.0,0.0,1.0,5.0
social.sciences.re,518.0,7966.0,0.0,1.0,7.0,31.0
yakyudon.net,518.0,85240.0,0.0,0.0,0.0,1.0
www.mstddntfdn.online,517.0,12031.0,0.0,0.0,0.0,0.0
jorts.horse,512.0,587343.0,1.0,4.0,4.0,21.0
toot.portes-imaginaire.org,508.0,8850.0,0.0,0.0,0.0,6.0
urbanists.social,507.0,4681.0,87.0,92.0,96.0,169.0
mastodon.design,500.0,13117.0,0.0,0.0,0.0,0.0
toot.si,487.0,15846.0,1.0,3.0,8.0,13.0
glammr.us,485.0,53017.0,3.0,7.0,9.0,41.0
dtp-mstdn.jp,479.0,34937.0,0.0,0.0,0.0,0.0
mastodon.vlaanderen,468.0,1450.0,1.0,5.0,14.0,151.0
pol.social,468.0,1963.0,1.0,14.0,32.0,209.0
imastodon.org,463.0,32864.0,0.0,0.0,0.0,0.0
abyss.fun,458.0,479942.0,0.0,0.0,0.0,0.0
vmst.io,454.0,4028.0,13.0,36.0,82.0,327.0
rcsocial.net,451.0,20590.0,1.0,1.0,1.0,9.0
pleroma.soykaf.com,448.0,277633.0,0.0,0.0,0.0,0.0
darmstadt.social,447.0,12369.0,1.0,5.0,10.0,29.0
mastodon.sandwich.net,447.0,31925.0,0.0,1.0,1.0,2.0
gingadon.com,446.0,524286.0,0.0,0.0,0.0,-1.0
en.osm.town,445.0,17954.0,0.0,0.0,2.0,13.0
slashine.onl,439.0,215967.0,0.0,1.0,1.0,1.0
functional.cafe,438.0,138224.0,1.0,2.0,3.0,7.0
glaceon.social,437.0,457074.0,0.0,1.0,1.0,4.0
social.datalabour.com,437.0,38088.0,0.0,1.0,2.0,5.0
macaw.social,436.0,2879.0,7.0,15.0,43.0,216.0
mastodon.acc.sunet.se,433.0,15098.0,0.0,-1.0,0.0,3.0
h5q.net,431.0,12590.0,1.0,5.0,8.0,17.0
social.mikutter.hachune.net,424.0,1356776.0,0.0,0.0,0.0,0.0
weeaboo.space,414.0,118696.0,0.0,0.0,0.0,-1.0
bolha.us,411.0,4093.0,16.0,34.0,87.0,163.0
rivals.space,410.0,79012.0,2.0,2.0,2.0,13.0
thicc.horse,410.0,12757.0,1.0,4.0,7.0,13.0
osna.social,408.0,14964.0,0.0,2.0,2.0,13.0
hub.mtf.party,408.0,3432.0,0.0,0.0,0.0,0.0
glitch.social,408.0,462104.0,0.0,0.0,0.0,0.0
fulda.social,407.0,34475.0,4.0,4.0,10.0,85.0
social.diva.exchange,406.0,1053.0,0.0,0.0,0.0,1.0
hokutodon.co,402.0,440258.0,0.0,0.0,0.0,0.0
masto.ninja,400.0,19738.0,0.0,0.0,0.0,0.0
mastodon.bayern,395.0,18002.0,0.0,0.0,0.0,3.0
cztwitter.cz,383.0,5103.0,0.0,2.0,4.0,22.0
bangdream.space,382.0,98028.0,0.0,0.0,0.0,2.0
libertalia.world,375.0,107877.0,0.0,0.0,0.0,0.0
letsalllovela.in,372.0,323356.0,0.0,0.0,0.0,0.0
digipres.club,370.0,23497.0,0.0,0.0,1.0,12.0
mstdn.nere9.help,366.0,1013887.0,0.0,0.0,-1.0,-1.0
mstdn.glorificatio.org,359.0,22751.0,0.0,0.0,0.0,0.0
obo.sh,357.0,10104.0,0.0,2.0,8.0,17.0
utopia.cool,347.0,236559.0,0.0,0.0,0.0,0.0
plush.city,345.0,438662.0,0.0,1.0,1.0,2.0
mastodon.nzoss.nz,344.0,59009.0,0.0,0.0,1.0,3.0
matitodon.com,342.0,259865.0,0.0,0.0,1.0,4.0
precure.ml,337.0,242879.0,0.0,0.0,0.0,1.0
xn--69aa8bzb.xn--y9a3aq,335.0,77980.0,0.0,0.0,0.0,1.0
թութ.հայ,335.0,77980.0,0.0,0.0,0.0,1.0
wetdry.world,334.0,24807.0,2.0,5.0,9.0,32.0
7144.party,331.0,21035.0,0.0,0.0,0.0,0.0
mustardon.tokyo,330.0,47061.0,0.0,0.0,0.0,0.0
social.weho.st,329.0,47062.0,0.0,0.0,0.0,0.0
mspsocial.net,326.0,256389.0,0.0,0.0,0.0,4.0
mstdn.hyogo.jp,325.0,31803.0,0.0,0.0,0.0,0.0
social.treehouse.systems,322.0,20010.0,0.0,1.0,3.0,
imaginair.es,322.0,61734.0,0.0,0.0,1.0,0.0
mastodon.atikoro.net,320.0,1571.0,0.0,0.0,0.0,0.0
hackers.town,316.0,391015.0,0.0,0.0,0.0,5.0
m6n.onsen.tech,311.0,43154.0,0.0,0.0,0.0,0.0
kancolle.social,310.0,478491.0,0.0,0.0,0.0,0.0
seo.chat,309.0,390.0,6.0,16.0,41.0,206.0
witter.cz,308.0,1145.0,2.0,3.0,8.0,20.0
occm.cc,308.0,137768.0,0.0,0.0,9.0,12.0
dair-community.social,308.0,3272.0,1.0,1.0,4.0,19.0
seommunity.com,303.0,894.0,0.0,3.0,6.0,32.0
ielts.boats,302.0,68347.0,0.0,0.0,0.0,1.0
retro.pizza,296.0,8467.0,3.0,5.0,10.0,44.0
m.hxbus.net,291.0,75476.0,0.0,0.0,0.0,0.0
social.wxcafe.net,289.0,137960.0,0.0,0.0,0.0,-1.0
janogdon.net,284.0,5208.0,0.0,0.0,0.0,0.0
social.saarland,283.0,29908.0,0.0,2.0,4.0,9.0
www.blimps.xyz,281.0,80149.0,1.0,1.0,1.0,1.0
worldkey.io,278.0,3819.0,6.0,9.0,25.0,47.0
wug.fun,276.0,98645.0,0.0,0.0,0.0,0.0
mastodon.tedomum.net,274.0,157672.0,0.0,0.0,0.0,0.0
dragon.style,272.0,312380.0,0.0,0.0,0.0,0.0
assemblag.es,272.0,5037.0,0.0,0.0,1.0,13.0
kiritan.work,272.0,1638052.0,0.0,0.0,0.0,0.0
rettiwtkcuf.social,271.0,10912.0,0.0,0.0,0.0,0.0
efdn.club,270.0,776844.0,0.0,0.0,0.0,3.0
mastodon.im.sb,270.0,30712.0,0.0,0.0,1.0,2.0
handon.club,265.0,3267634.0,0.0,0.0,0.0,0.0
fanfare.horse,265.0,8854.0,0.0,0.0,1.0,1.0
heislandmine.work,262.0,1262283.0,0.0,0.0,0.0,0.0
a.sc,262.0,1403.0,1.0,2.0,3.0,10.0
mastodon.bachgau.social,258.0,3561.0,0.0,0.0,2.0,29.0
mstdn.love,257.0,438931.0,0.0,0.0,0.0,1.0
